iso3,gdp_pc_ppp,gdp_pc_ppp_year,resource_rents_pct_gdp,resource_rents_pct_gdp_year,remittances_pct_gdp,remittances_pct_gdp_year,gini,gini_year
SGP,150689.301625826,2024,0.000180989109199595,2021,,,,
PHL,11794.1375488492,2024,1.97263339590791,2021,8.72571015588724,2024,39.3,2023
MYS,38779.2830442253,2024,6.92196634868479,2021,0.380193528996402,2024,40.7,2021
THA,24712.0658575135,2024,1.8170265297611,2021,1.79598323750296,2024,33.3,2024
VNM,16385.5065565458,2024,2.54701708790768,2021,,,36.1,2022
IDN,16448.2755179559,2024,5.15704008451705,2021,1.14863323387459,2024,34.9,2024
AUS,72111.1844628126,2024,13.3578752832739,2021,0.100476992804764,2024,33.8,2020
NZL,55551.143658637,2024,1.49411356490814,2021,0.163202042580004,2022,,
BGD,9646.76984383255,2024,0.610069177584654,2021,6.11494686698428,2024,30.9,2022
